"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"1","Pediculus humanus","","","Pediculidae (formerly Anoplura)","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"2","Blattella germanica","","Ectobiidae","Blattodea","Yes","Yes","Nocturnal","","Lab: locomotory patterns","5","data could be a little weird because their activity may have been altered by mating effects","https://doi.org/10.1111/j.1365-3032.1994.tb01071.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"3","Agrilus planipennis","","Buprestidae","Coleoptera","Yes","Yes","Diurnal","","Field: trapping","2","The paper admits that they don't really know the activity patterns of this species fully, but they think it's Diurnal. They used nets as their means of trapping.","doi.org/10.1007/s10340-013-0539-1","",NA,"","","",NA,NA,"","",NA,"","","",""
"4","Anoplophora glabripennis","","Cerambycidae","Coleoptera","Yes","Yes","Nocturnal","","Lab: foraging and mating activity","?","While the paper suggests a general Nocturnal pattern (foraging activity is highest around 21:30 and much lower throughout the day), it seems that the lighting system in the lab deviated from a typical day-night simulation; this could mess up behaviours.","https://doi.org/10.3390/insects14050465","",NA,"","","",NA,NA,"","",NA,"","","",""
"5","Colaspis brunnea","","Chrysomelidae","Coleoptera","No","No","Nocturnal","","Field: trapping","2","","https://doi.org/10.1093/ee/nvv132","",NA,"","","",NA,NA,"","",NA,"","","",""
"6","Colaspis crinicornis","","Chrysomelidae","Coleoptera","No","No","Nocturnal","","Field: counting","2","In discussion they said these guys like to hide during day and like to take more open positions. Manual counting was used to look at this species in the field.","https://doi.org/10.1093/ee/nvv132","",NA,"","","",NA,NA,"","",NA,"","","",""
"7","Dendroctonus ponderosae","","Curculionidae","Coleoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"8","Hypothenemus hampei","","Curculionidae","Coleoptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"9","Leptinotarsa decemlineata","","Chrysomelidae","Coleoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"10","Ochicanthon devagiriensis","","Scarabaeidae","Coleoptera","No","No",NA,"","Field: trapping","2","Generalist in this paper means no specific Diurnal or Nocturnal pattern, just goes with the flow","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"11","Onthophagus castetsi","","Scarabaeidae","Coleoptera","No","No","Diurnal","","Field: trapping","2","Diurnal dudes","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"12","Onthophagus quaestus","","Scarabaeidae","Coleoptera","No","No","Nocturnal","","Field: trapping","2","Nocturnal dudes","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"13","Onthophagus refulgens","","Scarabaeidae","Coleoptera","No","No",NA,"","Field: trapping","2","Generalist in this paper means no specific Diurnal or Nocturnal pattern, just goes with the flow","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"14","Onthophagus taurus","","Scarabaeidae","Coleoptera","Yes","Yes","Diurnal","","Review article","1","This paper mentions at some point that ""given it's Diurnal activity pattern"", but doesn't provide a source for this claim.","https://doi.org/10.1098/rspb.2014.1625","",NA,"","","",NA,NA,"","",NA,"","","",""
"15","Panelus keralai","","Scarabaeidae","Coleoptera","No","No","Diurnal","","Field: trapping","2","Diurnal dudes","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"16","Priacma serrata","","Cupedidae","Coleoptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"17","Tribolium castaneum","","Tenebrionidae","Coleoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"18","Catajapyx aquilonaris","","","Diplura","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"19","Aedes aegypti","","Culicidae","Diptera","Yes","Yes","Crepuscular","Diurnal","Field: trapping","2","They found activity still occurs throughout 24 hour period, but clusters around dawn and dusk. They also briefly mention that it is thought that this species is Diurnal, so I included both.","https://doi.org/10.1038/s41598-022-06586-w","",NA,"","","",NA,NA,"","",NA,"","","",""
"20","Aedes albopictus","","Culicidae","Diptera","Yes","Yes","Diurnal","","Field: counting","2","They didn't do full 24 hour study, but concluded their activity was typical for Diurnal species","https://doi.org/10.1186/s13071-022-05261-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"21","Anopheles albimanus","","Culicidae","Diptera","Yes","Yes","Crepuscular (dusk), males unspecified","Nocturnal males, crespuscular females (dusk)","Lab: oviposition tracking","1","Mainly Crepuscular, but they found Nocturnal components to egg laying actvitiy.","https://doi.org/10.1080/00034983.1993.11812802","Review Article",1,"Females were active at just dawn, males were active throughout the night","https://pubmed.ncbi.nlm.nih.gov/4548395","",NA,NA,"","",NA,"","","",""
"22","Anopheles arabiensis","","Culicidae","Diptera","Yes","Yes","Nocturnal","","Field: feeding","3","Bites consistently peaked at different points in the night, but the sample size was small.","https://doi.org/10.1186/s12936-020-03302-9","",NA,"","","",NA,NA,"","",NA,"","","",""
"23","Anopheles atroparvus","","Culicidae","Diptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"24","Anopheles christyi","","Culicidae","Diptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"25","Anopheles coluzzii *","","Culicidae","Diptera","Yes","No","Nocturnal","","Review article","1","Mentions that this species is Nocturnal, but doesn't cite this information","https://doi.org/10.1186/s13071-016-1609-z","",NA,"","","",NA,NA,"","",NA,"","","",""
"26","Anopheles culicifacies","","Culicidae","Diptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"27","Anopheles darlingi","","Culicidae","Diptera","Yes","Yes","Nocturnal","","Field: feeding","3","unfortunately no doi for this, but I downloaded a copy just in case the link changes","https://www.scielosp.org/article/ssm/content/raw/?resource_ssm_path=/media/assets/rsp/v36n1/8119.pdf","",NA,"","","",NA,NA,"","",NA,"","","",""
"28","Anopheles dirus","","Culicidae","Diptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"29","Anopheles epiroticus","","Culicidae","Diptera","Yes","No","Crepuscular (dusk)","Nocturnal","Field: feeding","3","There is a bit of nuance to these results, as they did a mixture of bite rate AND trapping.","https://doi.org/10.1186/1475-2875-12-364","",NA,"","","",NA,NA,"","",NA,"","","",""
"30","Anopheles farauti","","Culicidae","Diptera","Yes","No","Nocturnal","","Lab: locomotory patterns","5","Additionally this paper found that An. hinesorum had similar Nocturnal flight patterns","https://doi.org/10.1186/s13071-018-3271-0","",NA,"","","Review article",1,NA,"https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",""
"31","Anopheles funestus","","Culicidae","Diptera","Yes","Yes","Nocturnal","","Field: trapping","2","This study didn't test diel activity patterns, but found high activity during the night. They said that by morning, activity in mosquitos had almost ceased. This potentially suggests the species has Nocturnal activity preference. No DOI, downloaded copy.","https://journals.lww.com/jvbd/fulltext/2016/53020/Biting_behaviour_of_Anopheles_funestus_populations.5.aspx","",NA,"","","",NA,NA,"","",NA,"","","",""
"32","Anopheles gambiae","","Culicidae","Diptera","Yes","Yes","Nocturnal","dawn Crepuscular","Review article","1","This article just states that this species is Nocturnal, doesn't do any tests on the activity patterns","https://doi.org/10.1111/j.1365-3032.1995.tb00005.x","Field: oviposition tracking",1,"This paper also says it is Nocturnal, but it also points out that oviposition peaks shortly after dawn.","https://doi.org/10.1186/1740-3391-2-6","",NA,NA,"","",NA,"","","",""
"33","Anopheles koliensis","","Culicidae","Diptera","Yes","No","Nocturnal","","Review article","1","This article just states that this species is Nocturnal, doesn't do any tests on the activity patterns. The doi they provided doesn't work.","https://dx.doi.org/10.22435/balaba.v10i1%20Jun.3540.47-52","",NA,"","","",NA,NA,"","Review article",1,"","https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",""
"34","Anopheles maculatus","","Culicidae","Diptera","Yes","","Nocturnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",NA,NA,"","",NA,"","","",""
"35","Anopheles melas","","Culicidae","Diptera","Yes","","Nocturnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",NA,NA,"","",NA,"","","",""
"36","Anopheles merus","","Culicidae","Diptera","Yes","","Nocturnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",NA,NA,"","",NA,"","","",""
"37","Anopheles minimus","","Culicidae","Diptera","Yes","No","Nocturnal","","Field: trapping","2","talks about how Anopheles minimus is observed to rest throughout the day.","https://pubmed.ncbi.nlm.nih.gov/8653817","",NA,"","","Review article",1,NA,"https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",""
"38","Anopheles nili","","Culicidae","Diptera","Yes","No","Nocturnal","","Review article","1","They briefly just mentioned without a citation that this is a predominantly Nocturnal species. No doi attached.","https://www.cabidigitallibrary.org/doi/full/10.5555/19760533211","",NA,"","","",NA,NA,"","",NA,"","","",""
"39","Anopheles punctulatus","","Culicidae","Diptera","Yes","No","Nocturnal","","Review article","1","Stated that this species is Nocturnal","https://dx.doi.org/10.22435/balaba.v10i1%20Jun.3540.47-52","",NA,"","","",NA,NA,"","Review article",1,"","https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",""
"40","Anopheles quadriannulatus","","Culicidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"41","Anopheles sinensis","","Culicidae","Diptera","Yes","Yes","Nocturnal","","Review article","1","Briefly states that this species has Nocturnal feeding patterns and generally observed night time flying activity.","https://doi.org/10.7883/yoken1952.24.163","",NA,"","","Review article",1,NA,"https://doi.org/10.1016/B978-0-12-814043-7.00015-7","",NA,"","","",""
"42","Anopheles stephensi","","Culicidae","Diptera","Yes","Yes","Nocturnal","Crepuscular (dusk)","Field: locomotory patterns","4","Observed that this species engages in predominant day-time resting. Potentially they could also be Crepuscular day-time resters, but bite time peaks for this species are usually at night time. No doi or identification link. Downloaded it.","https://journals.lww.com/jvbd/abstract/2012/49030/Resting_behaviour_of_anopheles_stephensi_type_form.9.aspx","Review article",1,"mentions that this species is active during the night, but has biting peaks at dusk and other points throughout the night). No doi or identification available.","https://www.cabidigitallibrary.org/doi/full/10.5555/19812902435","",NA,NA,"","",NA,"","","",""
"43","Bactrocera cucurbitae","","Tephritidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"44","Bactrocera dorsalis","","Tephritidae","Diptera","Yes","Yes","Diurnal","","Review article","1","It just mentions in an uncited statement that this species is known to be Diurnal.","https://doi.org/10.1111/jen.12897","",NA,"","","",NA,NA,"","",NA,"","","",""
"45","Bactrocera tryoni","","Tephritidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"46","Belgica antarctica","","Chironomidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"47","Ceratitis capitata","","Tephritidae","Diptera","Yes","Yes","Diurnal","","Lab: locomotory patterns","5","maybe slightly crepuscular too? hard to say.","https://doi.org/10.1371/journal.pone.0269940","",NA,"","","",NA,NA,"","",NA,"","","",""
"48","Chironomus tentans","","Chironomidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"49","Culex quinquefasciatus","","Culicidae","Diptera","Yes","Yes","Nocturnal","","Review Article","1","It just mentions that this species is Nocturnal. No doi or identification code available, downloaded a copy to be safe","https://www.researchgate.net/profile/Probal-Basu/publication/330579096_The_Southern_House_Mosquito_Culex_quinquefasciatus_profile_of_a_smart_vector/links/5c498edd92851c22a38c4ad4/The-Southern-House-Mosquito-Culex-quinquefasciatus-profile-of-a-smart-vector.pdf","",NA,"","","",NA,NA,"","",NA,"","","the source to the left agrees too","https://doi.org/10.1016/B978-0-12-814043-7.00015-7"
"50","Drosophila albomicans","","Drosophilidae","Diptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"51","Drosophila ananassae","","Drosophilidae","Diptera","Yes","No","Diurnal","","Lab: locomotory patterns","5","good quality study, showed how the sleep patterns change throughout the age and lifespan of this species. All age-groups showed Diurnal activity patterns.","https://doi.org/10.1016/j.exger.2018.12.010","Review article",1,"agrees that this species is Diurnal. No doi or identification available, downloaded a copy to be safe.","https://libjncir.jncasr.ac.in/xmlui/bitstream/handle/10572/2823/9451.pdf?sequence=1&isAllowed=y","",NA,NA,"","",NA,"","","",""
"52","Drosophila biarmipes","","Drosophilidae","Diptera","Yes","Yes","Diurnal","","Review article","1","","https://doi.org/10.4161/cib.22279","",NA,"","","",NA,NA,"","",NA,"","","",""
"53","Drosophila bipectinata","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"54","Drosophila elegans","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"55","Drosophila erecta","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"56","Drosophila eugracilis","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"57","Drosophila ficusphila","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"58","Drosophila grimshawi","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"59","Drosophila kikkawai","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"60","Drosophila melanogaster","","Drosophilidae","Diptera","Yes","Yes","Crepuscular (dawn and dusk)","Diurnal","Lab: locomotory patterns","5","The authors note that in the wild, there's less of a clear preference for being Crepuscular with some individuals being Nocturnal.","https://doi.org/10.1177/0748730407306198","Review article",1,"says it is Diurnal","https://doi.org/10.1523/ENEURO.0071-15.2015","",NA,NA,"","",NA,"","","",""
"61","Drosophila miranda","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"62","Drosophila mojavensis","","Drosophilidae","Diptera","Yes","Yes","Crepuscular (dawn and dusk)","","Review article","1","The authors just mentioned in passing a couple times that Drosophila miranda is Crepuscular.","https://doi.org/10.1016/j.isci.2021.103637","",NA,"","","",NA,NA,"","",NA,"","","",""
"63","Drosophila persimilis","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"64","Drosophila pseudoobscura","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"65","Drosophila rhopaloa","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"66","Drosophila sechellia","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"67","Drosophila simulans","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"68","Drosophila suzukii","","Drosophilidae","Diptera","Yes","Yes","Crepuscular (dawn and dusk)","","Field: trapping","2","","https://doi.org/10.1371/journal.pone.0171718","",NA,"","","",NA,NA,"","",NA,"","","",""
"69","Drosophila takahashii","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"70","Drosophila virilis","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"71","Drosophila willistoni","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"72","Drosophila yakuba","","Drosophilidae","Diptera","Yes","",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"73","Glossina austeni","","Glossinidae","Diptera","Yes","No","Diurnal","","Field: trapping","2","They did an analysis of this species behaviour and concluded it was day-active. They used both a mix of field trapping and lab studies, which would make it's confidence somewhere between 2 and 5, but I'm defaulting this article to the lower end of it's confidence range, level 2, just to be safe.","https://doi.org/10.1017/S1742758400018154","",NA,"","","",NA,NA,"","",NA,"","","",""
"74","Glossina longipennis","","Glossinidae","Diptera","No","No","Crepuscular (dawn and dusk)","","Field: trapping","2","Used electrocution traps to count em up","https://doi.org/10.1046/j.1365-2915.1998.00125.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"75","Glossina brevipalpis","","Glossinidae","Diptera","Yes","No","","","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"76","Glossina fuscipes","","Glossinidae","Diptera","Yes","Yes","Nocturnal","","Field: feeding","3","","https://doi.org/10.1017/S0007485300050859","",NA,"","","",NA,NA,"","",NA,"","","",""
"77","Glossina morsitans","","Glossinidae","Diptera","Yes","No","Diurnal","","Field: feeding","3","Says that there exists some weak but still present signs of Diurnal rythm in this species; not completely conclusive but still something. No doi or identification code available.","https://www.cabidigitallibrary.org/doi/full/10.5555/19601000446","",NA,"","","",NA,NA,"","",NA,"","","",""
"78","Glossina pallidipes","","Glossinidae","Diptera","Yes","No","Diurnal","","Review article","1","vaguely mentions that a Diurnal rythm has been show to exist in Glossina pallidipes. No doi or identificaiton code.","https://www.cabidigitallibrary.org/doi/full/10.5555/19601000446","",NA,"","","",NA,NA,"","",NA,"","","",""
"79","Glossina palpalis","","Glossinidae","Diptera","Yes","No","Diurnal","","Lab: locomotory patterns","5","Good stuff! Contains multiple other tsetse fly data so may want to check that later","https://doi-org.myaccess.library.utoronto.ca/10.1111/j.1365-3032.1979.tb00622.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"80","Lucilia cuprina","","Calliphoridae","Diptera","Yes","Yes","Diurnal","","Field: trapping","2","I am making an extrapolation here: they have a table that shows their catchrates, this species was caught 33 times during the day, and 3 times during the night, thus I am exptrapolating it is Diurnal. No doi or identification code, downloaded a copy just in case","https://www.msptm.org/files/61_-_66_Nazni_WA.pdf","",NA,"","","",NA,NA,"","",NA,"","","",""
"81","Lutzomyia longipalpis","","Psychodidae","Diptera","Yes","Yes","Nocturnal","Crepuscular (dawn)","Lab: locomotory patterns","5","They did an experiment varying temperature and stuff and stuff and found this species to be consistently Nocturnal with a dawn peak in activity.","https://doi.org/10.1186/1756-3305-7-278","",NA,"","","",NA,NA,"","",NA,"","","",""
"82","Mayetiola destructor","","Cecidomyiidae","Diptera","Yes","No","","","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"83","Megaselia scalaris","","Phoridae","Diptera","Yes","No","Nocturnal","","Lab: locomotory patterns","5","they did rigorous 24 hour testing in a controlled lab environment","https://doi.org/10.1016/j.forsciint.2017.03.002","",NA,"","","",NA,NA,"","",NA,"","","",""
"84","Musca domestica","","Muscidae","Diptera","Yes","Yes","Diurnal","","Field: trapping","2","placed food-baited traps in daytime periods and night time periods, check table for daytime trap numbers vs nighttime trap. No doi or identification code, downloaded a copy in case.","https://www.msptm.org/files/61_-_66_Nazni_WA.pdf","",NA,"","","",NA,NA,"","",NA,"","","",""
"85","Phlebotomus papatasi","","Psychodidae","Diptera","Yes","Yes","Nocturnal","","Field: locomotory patterns","4","Noticed they were active throughout the night, and were burrowing during the day prior to sunset. No doi or identification code.","https://www.cabidigitallibrary.org/doi/full/10.5555/19792901587","",NA,"","","",NA,NA,"","",NA,"","","",""
"86","Stomoxys calcitrans","","Muscidae","Diptera","Yes","Yes","Diurnal","","Field: trapping","2","they found that this species is mainly Diurnal","https://doi.org/10.1051/parasite/2006133245","",NA,"","","",NA,NA,"","",NA,"","","",""
"87","Ephemera danica","","","Ephemeroptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"88","Acyrthosiphon pisum","","","Hemiptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"89","Cimex lectularius","","","Hemiptera","Yes","Yes","Nocturnal","","Lab: locomotory activity","5","Really solid.","https://www.sciencedirect.com/science/article/abs/pii/S0022191010001411","",NA,"","","",NA,NA,"","",NA,"","","",""
"90","Dactylopius coccus","","","Hemiptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"91","Diaphorina citri","","","Hemiptera","Yes","Yes","Diurnal","","Field: trapping","2","Trap data. Slightly confused about whether to classify this environment as lab or field, but it seemed like it was field.","https://doi.org/10.1007/s10905-011-9295-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"92","Gerris buenoi","","","Hemiptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"93","Halyomorpha halys","","","Hemiptera","Yes","Yes","Nocturnal","","Lab: trapping","2","The sleeping patterns of this species seem to be pretty cryptic so take this with a grain of salt.","https://doi.org/10.1093/ee/nvae010","",NA,"","","",NA,NA,"","",NA,"","","",""
"94","Homalodisca vitripennis","","","Hemiptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"95","Nilaparvata lugens","","","Hemiptera","Yes","Yes","Crepuscular (dawn and dusk)","","Field: trapping","2","their sleeping pattern is untested, but they show Crepuscular movement activity with peaks at dawn and dusk. No doi or indentification code, downloaded a copy.","https://edepot.wur.nl/323226#page=163","",NA,"","","",NA,NA,"","",NA,"","","",""
"96","Oncopeltus fasciatus","","","Hemiptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"97","Pachypsylla venusta","","","Hemiptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"98","Piezodorus guildinii","","","Hemiptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"99","Rhodnius prolixus","","","Hemiptera","Yes","No","Nocturnal","","Review article","1","Basically just says without a citation that this species is Nocturnal within the abstract.","https://doi.org/10.1016/j.jinsphys.2020.104021","",NA,"","","",NA,NA,"","",NA,"","","",""
"100","Acromyrmex echinatior","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"101","Aphaenogaster senilis","","","Hymenoptera","No","No","Diurnal","","Field: trapping","2","findings are solid: 99.2% Diurnal activity.","https://doi.org/10.1093/ee/36.5.1100","",NA,"","","",NA,NA,"","",NA,"","","",""
"102","Apis dorsata","","","Hymenoptera","Yes","Yes","Diurnal","Crepuscular (dawn) for males only","Review article","1","foragers (females) had a slightly different pattern than males who were active to mate.","https://doi.org/10.1111/j.1469-185X.2008.00059.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"103","Apis florea","","","Hymenoptera","Yes","Yes","Diurnal","","Review article","1","even though this is a low confidence article, it's well known this species is strongly Diurnal","https://doi.org/10.1242/jeb.031484","",NA,"","","",NA,NA,"","",NA,"","","",""
"104","Apis mellifera","","","Hymenoptera","Yes","Yes","Diurnal","","Review article","1","forager data only. even though this is a low confidence article, it's well known this species is strongly Diurnal","https://doi.org/10.1242/jeb.016915","",NA,"","","",NA,NA,"","",NA,"","","",""
"105","Athalia rosae","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"106","Atta cephalotes","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"107","Bombus terrestris","","","Hymenoptera","Yes","Yes","Diurnal","","Lab: locomotory patterns","5","forager data only. Really good data, very confident in result.","https://doi.org/10.1016/j.isci.2020.101827","",NA,"","","",NA,NA,"","",NA,"","","",""
"108","Camponotus floridanus","","","Hymenoptera","Yes","Yes","Nocturnal","Diurnal (20-40%)","Lab: locomotory patterns","5","GOOD DATA","https://doi.org/10.1177/0748730418764738","",NA,"","","",NA,NA,"","",NA,"","","",""
"109","Camponotus pilicornis","","","Hymenoptera","No","No","Nocturnal","","Field: trapping","2","measured at 100% Nocturnal activity","https://doi.org/10.1093/ee/36.5.1100","",NA,"","","",NA,NA,"","",NA,"","","",""
"110","Cataglyphis floricola","","","Hymenoptera","No","No","Diurnal","","Field: trapping","2","Apparently 100% Diurnal activity was found, pretty sharp results considering they analyzed a whole colony.","https://doi.org/10.1093/ee/36.5.1100","",NA,"","","",NA,NA,"","",NA,"","","",""
"111","Cephus cinctus","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"112","Cerapachys biroi","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"113","Ceratosolen solmsi","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"114","Copidosoma floridanum","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"115","Cotesia vestalis","","","Hymenoptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"116","Fopius arisanus","","","Hymenoptera","Yes","Yes","Diurnal","","Field: locomotory patterns","4","GOOD DATA","https://doi.org/10.1603/022.038.0344","",NA,"","","",NA,NA,"","",NA,"","","",""
"117","Harpegnathos saltator","","","Hymenoptera","Yes","Yes","Diurnal","","Review article","1","this source is great and has lots of data","https://doi.org/10.1093/icb/icx096","",NA,"","","",NA,NA,"","",NA,"","","",""
"118","Linepithema humile","","","Hymenoptera","Yes","Yes","Nocturnal","Diurnal (26%)","Field: trapping","2","roughly 75% of trapped ants were trapped during the night, so there is a preference for Diurnal activity but it seems this species adjust it's diel rythm in accordance to ambient temperatures.","https://doi.org/10.1093/ee/36.5.1100","",NA,"","","",NA,NA,"","",NA,"","","",""
"119","Megachile rotundata","","","Hymenoptera","Yes","Yes","Diurnal","","Review article","1","Mentions that this species is active when it's bright and sunny","https://doi.org/10.1080/00218839.2006.11101345","",NA,"","","",NA,NA,"","",NA,"","","",""
"120","Microplitis demolitor","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"121","Monomorium pharaonis","","","Hymenoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"122","Nasonia giraulti","","","Hymenoptera","Yes","No","Diurnal","","Lab: locomotory patterns","5","Artificial environment, tracking behaviour in lab light and day controlled labs to simulate outdoor day and night cycle.","https://doi.org/10.1371/journal.pone.0060167","",NA,"","","",NA,NA,"","",NA,"","","",""
"123","Nasonia longicornis","","","Hymenoptera","Yes","No","Diurnal","","Lab: locomotory patterns","5","Artificial environment, tracking behaviour in lab light and day controlled labs to simulate outdoor day and night cycle.","https://doi.org/10.1371/journal.pone.0060167","",NA,"","","",NA,NA,"","",NA,"","","",""
"124","Nasonia vitripennis","","","Hymenoptera","Yes","Yes","Diurnal","","Lab: locomotory patterns","5","Artificial environment, tracking behaviour in lab light and day controlled labs to simulate outdoor day and night cycle.","https://doi.org/10.1371/journal.pone.0060167","",NA,"","","",NA,NA,"","",NA,"","","",""
"125","Orussus abietinus","","","Hymenoptera","Yes","Yes","","","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"126","Pogonomyrmex barbatus","","","Hymenoptera","Yes","Yes","","","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
