"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips"
"180","Rucervus_duvaucelii","Rucervus duvaucelii","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Rucervus_duvaucelii"
"181","Rucervus_eldii","Rucervus eldii","Cervidae","Panolia eldii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Rucervus_eldii"
"182","Rupicapra_pyrenaica","Rupicapra pyrenaica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Rupicapra_pyrenaica"
"183","Rupicapra_rupicapra","Rupicapra rupicapra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","Nocturnal",4,"Rupicapra_rupicapra"
"184","Rusa_alfredi","Rusa alfredi","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Rusa_alfredi"
"185","Rusa_marianna","Rusa marianna","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Rusa_marianna"
"186","Rusa_timorensis","Rusa timorensis","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*diurnal in the absence of livestock",3,"Rusa_timorensis"
"187","Rusa_unicolor","Rusa unicolor","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Rusa_unicolor"
"188","Saiga_tatarica","Saiga tatarica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",1,"Saiga_tatarica"
"189","Sylvicapra_grimmia","Sylvicapra grimmia","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Sylvicapra_grimmia"
"190","Syncerus_caffer","Syncerus caffer","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",4,"Syncerus_caffer"
"191","Tetracerus_quadricornis","Tetracerus quadricornis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Tetracerus_quadricornis"
"192","Tragelaphus_angasii","Tragelaphus angasii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*more crepuscular in some locations",3,"Tragelaphus_angasii"
"193","Tragelaphus_buxtoni","Tragelaphus buxtoni","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Tragelaphus_buxtoni"
"194","Tragelaphus_derbianus","Tragelaphus derbianus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragelaphus_derbianus"
"195","Tragelaphus_eurycerus","Tragelaphus eurycerus","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Tragelaphus_eurycerus"
"196","Tragelaphus_imberbis","Tragelaphus imberbis","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Tragelaphus_imberbis"
"197","Tragelaphus_oryx","Tragelaphus oryx","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Tragelaphus_oryx"
"198","Tragelaphus_scriptus","Tragelaphus scriptus","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more diurnal/cathemeral crepuscular in some locations",4,"Tragelaphus_scriptus"
"199","Tragelaphus_spekii","Tragelaphus spekii","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragelaphus_spekii"
"200","Tragelaphus_strepsiceros","Tragelaphus strepsiceros","Bovidae","","diurnal","diurnal","diurnal","diurnal","",3,"Tragelaphus_strepsiceros"
"201","Tragelaphus_sylvaticus","Tragelaphus sylvaticus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",4,"Tragelaphus_sylvaticus"
"202","Tragulus_javanicus","Tragulus javanicus","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Tragulus_javanicus"
"203","Tragulus_kanchil","Tragulus kanchil","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",5,"Tragulus_kanchil"
"204","Tragulus_napu","Tragulus napu","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragulus_napu"
"205","Tragulus_nigricans","Tragulus nigricans","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Tragulus_nigricans"
"206","Tragulus_versicolor","Tragulus versicolor","Tragulidae","","diurnal","diurnal","diurnal","diurnal","",3,"Tragulus_versicolor"
"207","Tragulus_williamsoni","Tragulus williamsoni","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Tragulus_williamsoni"
